allele1,allele2,direction,n_continents,or_cmh,log2_or,p_one_sided,qval,score
A15G2R1-IIa,A17G2R2-IIa,exclusive,1,0.3515151515151515,-1.5083412191182437,0.3323095972355179,0.4192762215054601,-0.4784571159399491
A16G3R1-IIa,A18G3R1-IIa,co-occur,2,1.1517106424952073,0.20377829744534595,0.3335253453759552,0.4192762215054601,0.4768711574335761
A16G3R1-IIa,A18G2R1-IIa,co-occur,2,1.1566425534969416,0.20994308573108159,0.3342154116207854,0.4192762215054601,0.47597352743023635
A17G2R2-IIa,A18G3R1-IIa,co-occur,1,3.251851851851852,1.7012615324845273,0.3349504520482429,0.4192762215054601,0.4750194317498028
A16G3R1-IIa,A19G2R1-IIa,exclusive,1,0.7217391304347825,-0.4704506195974506,0.3367565313878784,0.4192762215054601,-0.4726839723883258
A20G1R1-IIa,A5G3-IIc,co-occur,1,3.615384615384615,1.854149133536545,0.34023793621771214,0.4192762215054601,0.46821726458740776
A22G1-IId,A5G3-IIc,co-occur,1,3.615384615384615,1.854149133536545,0.34023793621771214,0.4192762215054601,0.46821726458740776
A18G3R1-IIa,A19G1R1-IIa,co-occur,1,3.615384615384615,1.854149133536545,0.34023793621771214,0.4192762215054601,0.46821726458740776
A19G1R1-IIa,A22G1-IId,co-occur,1,3.615384615384615,1.854149133536545,0.34023793621771214,0.4192762215054601,0.46821726458740776
A17G1-IId,A5G3-IIc,co-occur,1,3.615384615384615,1.854149133536545,0.34023793621771214,0.4192762215054601,0.46821726458740776
A13G2R1-IIa,A17G1-IId,co-occur,1,3.615384615384615,1.854149133536545,0.34023793621771214,0.4192762215054601,0.46821726458740776
A13G2R1-IIa,A16G2R1-IIa,co-occur,1,3.615384615384615,1.854149133536545,0.34023793621771214,0.4192762215054601,0.46821726458740776
A17G1-IId,A19G1R1-IIa,co-occur,1,3.615384615384615,1.854149133536545,0.34023793621771214,0.4192762215054601,0.46821726458740776
A16G2R1-IIa,A19G1R1-IIa,co-occur,1,3.615384615384615,1.854149133536545,0.34023793621771214,0.4192762215054601,0.46821726458740776
A13G2R1-IIa,A18G3R1-IIa,co-occur,1,3.615384615384615,1.854149133536545,0.34023793621771214,0.4192762215054601,0.46821726458740776
A13G2R1-IIa,A20G1R1-IIa,co-occur,1,3.615384615384615,1.854149133536545,0.34023793621771214,0.4192762215054601,0.46821726458740776
A13G2R1-IIa,A22G1-IId,co-occur,1,3.615384615384615,1.854149133536545,0.34023793621771214,0.4192762215054601,0.46821726458740776
A16G2R1-IIa,A16G3R2-IIa,co-occur,1,3.644628099173554,1.865771608282926,0.3432884194152679,0.4192762215054601,0.4643408469350909
A16G3R2-IIa,A18G2R1-IIa,co-occur,1,3.644628099173554,1.865771608282926,0.3432884194152679,0.4192762215054601,0.4643408469350909
A18G3R1-IIa,A5G3-IIc,co-occur,2,3.8874313065059387,1.9588171820885565,0.35187980115895756,0.4192762215054601,0.45360566211330483
A16G2R1-IIa,A18G3R1-IIa,co-occur,2,3.831598041895485,1.9379462214653635,0.352364096450678,0.4192762215054601,0.45300834971436255
A15G2R2-IIa,A17G2R2-IIa,exclusive,1,0.6649572649572649,-0.588666469484575,0.35457725125670553,0.4192762215054601,-0.45028913103234447
A17G2R1-IIa,A17G2R2-IIa,exclusive,1,0.6649572649572649,-0.588666469484575,0.35457725125670553,0.4192762215054601,-0.45028913103234447
A16G3R2-IIa,A17G2R2-IIa,co-occur,1,4.474747474747475,2.161806268475409,0.3566097529644552,0.4192762215054601,0.4478067834244786
A17G2R2-IIa,A18G2R1-IIa,co-occur,1,4.474747474747475,2.161806268475409,0.3566097529644552,0.4192762215054601,0.4478067834244786
A16G2R1-IIa,A17G2R2-IIa,co-occur,1,4.474747474747475,2.161806268475409,0.3566097529644552,0.4192762215054601,0.4478067834244786
A18G2R1-IIa,A5G3-IIc,co-occur,2,3.784903616534134,1.9202565621083096,0.3568625282106508,0.4192762215054601,0.4474990520603481
A16G1R1-IIa,A17G1R1-IIa,exclusive,1,0.8529411764705882,-0.22948184612276734,0.3587772581607155,0.4192762215054601,-0.44517509341035666
A16G3R1-IIa,A20G1R1-IIa,co-occur,1,4.499999999999999,2.169925001442312,0.36042518437696447,0.4192762215054601,0.44318487070680557
A18G2R1-IIa,A22G1-IId,co-occur,1,5.285714285714286,2.4020984435713455,0.36467404947519655,0.4192762215054601,0.4380951403624257
A18G2R1-IIa,A20G1R1-IIa,co-occur,1,5.285714285714286,2.4020984435713455,0.36467404947519655,0.4192762215054601,0.4380951403624257
A17G1-IId,A18G2R1-IIa,co-occur,1,5.285714285714286,2.4020984435713455,0.36467404947519655,0.4192762215054601,0.4380951403624257
A16G3R2-IIa,A5G3-IIc,co-occur,1,5.779220779220779,2.530874985158859,0.37145122749050175,0.4192762215054601,0.43009820215181616
A16G2R1-IIa,A16G3R1-IIa,co-occur,2,1.3444318150314658,0.42699658852397104,0.3724357882476217,0.4192762215054601,0.42894859328771306
A18G2R1-IIa,A18G3R1-IIa,co-occur,2,3.5347773102480975,1.8216193286073556,0.37295768381281535,0.4192762215054601,0.4283404409235544
A18G3R1-IIa,A20G1R1-IIa,co-occur,1,6.836734693877551,2.7733074412299263,0.3788284290737998,0.4192762215054601,0.42155743693752845
A17G1-IId,A18G3R1-IIa,co-occur,1,6.836734693877551,2.7733074412299263,0.3788284290737998,0.4192762215054601,0.42155743693752845
A16G2R1-IIa,A17G1-IId,co-occur,1,6.836734693877551,2.7733074412299263,0.3788284290737998,0.4192762215054601,0.42155743693752845
A16G2R1-IIa,A22G1-IId,co-occur,1,6.836734693877551,2.7733074412299263,0.3788284290737998,0.4192762215054601,0.42155743693752845
A16G2R1-IIa,A20G1R1-IIa,co-occur,1,6.836734693877551,2.7733074412299263,0.3788284290737998,0.4192762215054601,0.42155743693752845
A18G3R1-IIa,A22G1-IId,co-occur,1,6.836734693877551,2.7733074412299263,0.3788284290737998,0.4192762215054601,0.42155743693752845
A20G1R1-IIa,A22G1-IId,co-occur,1,6.836734693877551,2.7733074412299263,0.3788284290737998,0.4192762215054601,0.42155743693752845
A17G1-IId,A22G1-IId,co-occur,1,6.836734693877551,2.7733074412299263,0.3788284290737998,0.4192762215054601,0.42155743693752845
A17G1-IId,A20G1R1-IIa,co-occur,1,6.836734693877551,2.7733074412299263,0.3788284290737998,0.4192762215054601,0.42155743693752845
A17G2R2-IIa,A5G3-IIc,co-occur,1,7.095238095238095,2.8268510976834014,0.38255681361794647,0.4192762215054601,0.41730405852730224
A17G1R1-IIa,A5G3-IIc,exclusive,1,0.6216216216216216,-0.685891409571937,0.38333118775707736,0.4192762215054601,-0.41642584518658005
A16G3R1-IIa,A19G1R1-IIa,exclusive,1,0.6216216216216216,-0.685891409571937,0.38333118775707736,0.4192762215054601,-0.41642584518658005
A13G2R1-IIa,A16G3R1-IIa,exclusive,1,0.6216216216216216,-0.685891409571937,0.38333118775707736,0.4192762215054601,-0.41642584518658005
A13G2R1-IIa,A17G1R1-IIa,exclusive,1,0.6216216216216216,-0.685891409571937,0.38333118775707736,0.4192762215054601,-0.41642584518658005
A15G2R1-IIa,A20G1R1-IIa,exclusive,1,0.6971830985915493,-0.5203904994250725,0.38352398556313405,0.4192762215054601,-0.41620747011923814
A17G1R1-IIa,A17G2R1-IIa,co-occur,1,1.4607843137254901,0.5467431784906659,0.386784063952604,0.41928692646962956,0.4125314277638592
A15G2R2-IIa,A16G2R1-IIa,exclusive,1,0.5412587412587413,-0.8856096755213414,0.43125907477208636,0.4468962191295685,-0.36526175317785603
A15G2R2-IIa,A18G2R1-IIa,exclusive,1,0.5412587412587413,-0.8856096755213414,0.43125907477208636,0.4468962191295685,-0.36526175317785603
A15G2R2-IIa,A16G3R2-IIa,exclusive,1,0.5412587412587413,-0.8856096755213414,0.43125907477208636,0.4468962191295685,-0.36526175317785603
A16G3R2-IIa,A17G2R1-IIa,exclusive,1,0.5412587412587413,-0.8856096755213414,0.43125907477208636,0.4468962191295685,-0.36526175317785603
A17G2R1-IIa,A18G3R1-IIa,exclusive,2,0.7328204733697465,-0.4484682852074137,0.4327048144307055,0.4468962191295685,-0.3638082726564712
A17G1R1-IIa,A19G1R1-IIa,co-occur,1,1.7647058823529413,0.8194277543581793,0.43303897202477565,0.4468962191295685,0.3634730168714043
A16G3R1-IIa,A17G2R1-IIa,exclusive,2,0.6951469261249951,-0.5246101570664657,0.4422600490987585,0.4470942223891792,-0.354322290202172
A15G2R2-IIa,A16G3R1-IIa,exclusive,1,0.5483870967741935,-0.8667334691365359,0.44237021031940965,0.4470942223891792,-0.35421412657112616
A15G2R2-IIa,A18G3R1-IIa,exclusive,1,0.39282051282051283,-1.3480578267120158,0.4436283757039917,0.4470942223891792,-0.3529806829522385
A20G1-IId,A5G3-IIc,exclusive,1,0.42857142857142855,-1.222392421336448,0.4612391671789049,0.4612391671789049,-0.3360738207020907
